,congressional_district,zip_codes
10,11,"[94505, 94506, 94507, 94509, 94513, 94514, 94516, 94517, 94518, 94519, 94520, 94521, 94523, 94526, 94528, 94530, 94547, 94549, 94551, 94553, 94556, 94563, 94564, 94565, 94575, 94582, 94583, 94588, 94595, 94596, 94597, 94598, 94611, 94706, 94707, 94708, 94801, 94803, 94804, 94805, 94806, 94850]"
11,12,"[94102, 94103, 94104, 94105, 94107, 94108, 94109, 94110, 94111, 94112, 94114, 94115, 94116, 94117, 94118, 94121, 94122, 94123, 94124, 94127, 94129, 94130, 94131, 94133, 94134, 94158]"
12,13,"[94501, 94502, 94546, 94577, 94578, 94579, 94580, 94601, 94602, 94603, 94605, 94606, 94607, 94608, 94609, 94610, 94611, 94612, 94613, 94618, 94619, 94621, 94702, 94703, 94704, 94705, 94706, 94707, 94708, 94709, 94710, 94720]"
13,14,"[94002, 94005, 94010, 94014, 94015, 94019, 94025, 94030, 94037, 94038, 94044, 94061, 94062, 94063, 94065, 94066, 94070, 94074, 94080, 94112, 94116, 94127, 94128, 94131, 94132, 94134, 94303, 94401, 94402, 94403, 94404]"
14,15,"[94505, 94506, 94514, 94526, 94536, 94538, 94539, 94541, 94542, 94544, 94545, 94546, 94550, 94551, 94552, 94555, 94566, 94568, 94577, 94578, 94580, 94582, 94583, 94586, 94587, 94588, 94605, 94619, 95377, 95391]"
15,16,"[93606, 93610, 93620, 93622, 93630, 93635, 93636, 93637, 93638, 93665, 93701, 93702, 93703, 93704, 93705, 93706, 93711, 93721, 93722, 93723, 93725, 93726, 93727, 93728, 95301, 95303, 95312, 95315, 95317, 95322, 95324, 95333, 95334, 95340, 95341, 95348, 95360, 95365, 95369, 95374, 95380, 95388]"
16,17,"[94024, 94043, 94085, 94086, 94087, 94089, 94536, 94538, 94539, 94555, 94560, 95002, 95014, 95035, 95050, 95051, 95053, 95054, 95070, 95110, 95112, 95117, 95126, 95127, 95129, 95131, 95132, 95133, 95134, 95140]"
17,18,"[94019, 94020, 94021, 94022, 94024, 94025, 94027, 94028, 94040, 94041, 94043, 94060, 94061, 94062, 94063, 94074, 94085, 94086, 94087, 94089, 94301, 94303, 94304, 94305, 94306, 95005, 95006, 95007, 95008, 95014, 95017, 95018, 95030, 95032, 95033, 95037, 95041, 95050, 95060, 95064, 95065, 95066, 95070, 95073, 95117, 95118, 95120, 95123, 95124, 95125, 95126, 95128, 95129, 95130, 95136]"
18,19,"[94550, 95013, 95020, 95023, 95033, 95035, 95037, 95046, 95050, 95076, 95110, 95111, 95112, 95113, 95116, 95118, 95119, 95120, 95121, 95122, 95123, 95124, 95125, 95126, 95127, 95128, 95132, 95133, 95135, 95136, 95138, 95139, 95140, 95148]"
19,20,"[93210, 93426, 93450, 93451, 93461, 93901, 93905, 93906, 93907, 93908, 93920, 93921, 93923, 93924, 93925, 93926, 93927, 93928, 93930, 93932, 93933, 93940, 93943, 93950, 93953, 93954, 93955, 93960, 93962, 95003, 95004, 95010, 95012, 95019, 95020, 95023, 95039, 95043, 95045, 95060, 95062, 95064, 95065, 95066, 95073, 95075, 95076]"
20,21,"[93201, 93202, 93203, 93204, 93206, 93210, 93212, 93215, 93218, 93219, 93220, 93230, 93234, 93239, 93241, 93242, 93245, 93249, 93250, 93251, 93256, 93257, 93261, 93263, 93266, 93270, 93272, 93274, 93280, 93304, 93305, 93306, 93307, 93308, 93311, 93313, 93314, 93461, 93608, 93609, 93616, 93619, 93620, 93622, 93624, 93625, 93627, 93630, 93631, 93640, 93648, 93652, 93654, 93656, 93657, 93660, 93662, 93668, 93706, 93723, 93725]"
21,22,"[93212, 93221, 93223, 93235, 93247, 93257, 93267, 93274, 93277, 93286, 93291, 93292, 93611, 93612, 93615, 93616, 93618, 93619, 93621, 93626, 93631, 93641, 93646, 93647, 93650, 93654, 93657, 93666, 93673, 93675, 93704, 93705, 93710, 93711, 93720, 93722, 93725, 93726, 93727, 93730]"
22,23,"[93203, 93205, 93207, 93208, 93220, 93221, 93222, 93224, 93225, 93226, 93238, 93240, 93243, 93244, 93247, 93249, 93251, 93252, 93255, 93257, 93258, 93260, 93262, 93265, 93267, 93268, 93271, 93276, 93283, 93285, 93286, 93287, 93292, 93301, 93304, 93305, 93306, 93307, 93308, 93309, 93311, 93312, 93313, 93314, 93501, 93505, 93516, 93518, 93519, 93523, 93524, 93527, 93528, 93531, 93534, 93535, 93536, 93551, 93554, 93555, 93560, 93561, 93603, 93633, 93647]"
23,24,"[93001, 93003, 93013, 93015, 93023, 93040, 93060, 93067, 93101, 93103, 93105, 93108, 93109, 93110, 93111, 93117, 93225, 93252, 93254, 93401, 93402, 93405, 93410, 93420, 93422, 93424, 93426, 93427, 93428, 93429, 93430, 93432, 93433, 93434, 93436, 93437, 93440, 93441, 93442, 93444, 93445, 93446, 93449, 93451, 93452, 93453, 93454, 93455, 93458, 93460, 93461, 93463, 93465]"
24,25,"[91042, 91304, 91311, 91321, 91326, 91344, 91350, 91351, 91354, 91355, 91362, 91381, 91384, 91387, 91390, 93063, 93064, 93065, 93243, 93510, 93532, 93534, 93535, 93536, 93543, 93544, 93550, 93551, 93552, 93553, 93563, 93591]"
25,26,"[90265, 91320, 91360, 91361, 91362, 91377, 93001, 93003, 93004, 93010, 93012, 93015, 93021, 93022, 93023, 93030, 93033, 93035, 93036, 93040, 93041, 93042, 93043, 93060, 93063, 93065, 93066]"
26,27,"[90022, 90042, 90640, 91001, 91006, 91007, 91008, 91011, 91016, 91024, 91030, 91042, 91101, 91103, 91104, 91105, 91106, 91107, 91108, 91701, 91702, 91711, 91731, 91732, 91733, 91740, 91741, 91750, 91754, 91755, 91759, 91767, 91770, 91773, 91775, 91776, 91780, 91784, 91786, 91801, 91803, 92397, 93543, 93544, 93550, 93552, 93553, 93563]"
27,28,"[90004, 90026, 90027, 90028, 90029, 90031, 90036, 90038, 90039, 90042, 90046, 90048, 90065, 90068, 90069, 90210, 91011, 91020, 91040, 91042, 91046, 91103, 91105, 91201, 91202, 91203, 91204, 91205, 91206, 91207, 91208, 91210, 91214, 91331, 91342, 91352, 91387, 91390, 91501, 91502, 91504, 91505, 91506, 91605, 91608, 93510]"
28,29,"[91040, 91321, 91331, 91340, 91342, 91343, 91344, 91345, 91352, 91387, 91401, 91402, 91405, 91406, 91411, 91504, 91505, 91601, 91602, 91605, 91606, 91607]"
29,30,"[90046, 90049, 90068, 90077, 90210, 91302, 91303, 91304, 91306, 91307, 91311, 91316, 91324, 91325, 91326, 91330, 91335, 91342, 91343, 91344, 91356, 91364, 91367, 91371, 91401, 91403, 91406, 91411, 91423, 91436, 91505, 91506, 91601, 91602, 91604, 91607, 91608, 93064]"
30,31,"[91701, 91730, 91737, 91739, 91786, 92313, 92316, 92324, 92336, 92346, 92354, 92359, 92373, 92374, 92376, 92377, 92399, 92401, 92404, 92405, 92407, 92408, 92410, 92411]"
31,32,"[90601, 90660, 91006, 91008, 91010, 91016, 91702, 91706, 91722, 91723, 91724, 91731, 91732, 91733, 91740, 91744, 91745, 91746, 91748, 91750, 91767, 91768, 91770, 91773, 91780, 91789, 91790, 91791, 91792]"
32,33,"[90004, 90005, 90010, 90020, 90024, 90025, 90035, 90036, 90046, 90048, 90049, 90064, 90066, 90073, 90077, 90095, 90210, 90211, 90212, 90245, 90254, 90263, 90265, 90266, 90272, 90274, 90275, 90277, 90278, 90290, 90291, 90292, 90293, 90401, 90402, 90403, 90404, 90405, 90503, 90504, 90505, 90710, 90717, 90731, 90732, 90744, 91301, 91302, 91361, 91364]"
33,34,"[90004, 90005, 90006, 90007, 90010, 90012, 90013, 90014, 90015, 90017, 90018, 90019, 90020, 90021, 90022, 90023, 90026, 90031, 90032, 90033, 90038, 90041, 90042, 90057, 90058, 90063, 90065, 90071, 90079, 90089, 90090, 91030, 91105]"
34,35,"[91708, 91709, 91710, 91711, 91739, 91750, 91761, 91762, 91763, 91764, 91765, 91766, 91767, 91768, 91773, 91789, 92316, 92324, 92335, 92336, 92337, 92376, 92509, 92880]"
35,36,"[92201, 92203, 92210, 92211, 92220, 92223, 92225, 92230, 92234, 92236, 92239, 92240, 92241, 92253, 92254, 92258, 92260, 92262, 92264, 92270, 92274, 92276, 92277, 92282, 92320, 92373, 92399, 92536, 92539, 92543, 92544, 92545, 92549, 92561, 92567, 92582, 92583]"
36,37,"[90003, 90005, 90007, 90008, 90010, 90011, 90015, 90016, 90018, 90019, 90024, 90025, 90034, 90035, 90036, 90037, 90043, 90044, 90045, 90047, 90048, 90056, 90062, 90064, 90066, 90067, 90089, 90212, 90230, 90232, 90291, 90292, 90302, 90405]"
37,38,"[90022, 90241, 90601, 90602, 90603, 90604, 90605, 90606, 90623, 90630, 90631, 90638, 90640, 90650, 90660, 90670, 90701, 90703, 90706, 90712, 90713, 90715, 90716, 90805, 91731, 91733, 91745, 91770]"
38,39,"[90620, 90621, 90631, 90638, 91709, 91710, 91724, 91745, 91746, 91748, 91765, 91768, 91789, 92801, 92805, 92806, 92807, 92808, 92821, 92823, 92831, 92832, 92833, 92835, 92867, 92870, 92886, 92887]"
39,40,"[90001, 90003, 90007, 90011, 90015, 90021, 90022, 90023, 90037, 90040, 90058, 90063, 90201, 90221, 90240, 90241, 90242, 90255, 90262, 90270, 90640, 90650, 90670, 90706, 90723, 91754]"
40,41,"[91752, 92223, 92320, 92324, 92373, 92501, 92503, 92504, 92505, 92506, 92507, 92508, 92509, 92518, 92551, 92553, 92555, 92557, 92570, 92571, 92585, 92586, 92587, 92860, 92879]"
41,42,"[91752, 92223, 92373, 92503, 92504, 92505, 92506, 92508, 92530, 92532, 92536, 92543, 92544, 92545, 92548, 92555, 92562, 92563, 92567, 92570, 92571, 92582, 92584, 92585, 92586, 92587, 92590, 92591, 92592, 92595, 92596, 92860, 92879, 92880, 92881, 92882, 92883]"
42,43,"[90001, 90002, 90003, 90044, 90045, 90047, 90059, 90061, 90066, 90094, 90230, 90247, 90248, 90249, 90250, 90260, 90293, 90301, 90302, 90303, 90304, 90305, 90501, 90502, 90503, 90504, 90505, 90506, 90710, 90717, 90732]"
43,44,"[90001, 90002, 90044, 90059, 90061, 90220, 90221, 90222, 90248, 90255, 90262, 90280, 90731, 90732, 90744, 90745, 90746, 90747, 90802, 90805, 90810, 90813]"
44,45,"[92530, 92602, 92603, 92604, 92606, 92610, 92612, 92614, 92617, 92618, 92620, 92630, 92637, 92653, 92656, 92660, 92676, 92677, 92678, 92679, 92688, 92691, 92692, 92701, 92705, 92780, 92782, 92807, 92808, 92861, 92865, 92867, 92869, 92887]"
45,46,"[90620, 90621, 92606, 92614, 92701, 92703, 92704, 92705, 92706, 92707, 92780, 92801, 92802, 92804, 92805, 92806, 92807, 92840, 92843, 92865, 92866, 92867, 92868, 92870]"
46,47,"[90620, 90623, 90630, 90680, 90704, 90712, 90713, 90720, 90731, 90740, 90755, 90802, 90803, 90804, 90805, 90806, 90807, 90808, 90810, 90813, 90814, 90815, 90822, 90831, 92647, 92655, 92683, 92804, 92840, 92841, 92843, 92844, 92845]"
47,48,"[90720, 90740, 90742, 90743, 92603, 92612, 92614, 92617, 92625, 92626, 92627, 92629, 92637, 92646, 92647, 92648, 92649, 92651, 92653, 92655, 92656, 92657, 92660, 92661, 92662, 92663, 92675, 92677, 92683, 92703, 92704, 92707, 92708, 92843, 92844]"
48,49,"[92003, 92007, 92008, 92009, 92010, 92011, 92014, 92024, 92028, 92029, 92037, 92054, 92055, 92056, 92057, 92058, 92067, 92075, 92078, 92081, 92083, 92084, 92091, 92121, 92127, 92130, 92624, 92629, 92651, 92672, 92673, 92675, 92677, 92679, 92688, 92691, 92692, 92694]"
49,50,"[91901, 91905, 91914, 91916, 91931, 91935, 91941, 91948, 91962, 91978, 92003, 92004, 92009, 92019, 92020, 92021, 92024, 92025, 92026, 92027, 92028, 92029, 92036, 92040, 92059, 92060, 92061, 92064, 92065, 92066, 92069, 92070, 92071, 92078, 92082, 92084, 92086, 92562, 92590, 92591, 92592]"
50,51,"[91901, 91902, 91905, 91906, 91910, 91911, 91914, 91915, 91917, 91931, 91932, 91934, 91935, 91945, 91950, 91962, 91963, 91980, 92004, 92019, 92101, 92102, 92104, 92105, 92113, 92114, 92115, 92139, 92154, 92173, 92222, 92225, 92227, 92231, 92233, 92243, 92249, 92250, 92251, 92257, 92259, 92266, 92273, 92274, 92275, 92281, 92283]"
51,52,"[91932, 92014, 92025, 92027, 92029, 92037, 92064, 92065, 92067, 92071, 92075, 92101, 92106, 92107, 92108, 92109, 92110, 92111, 92113, 92117, 92118, 92119, 92120, 92121, 92122, 92123, 92124, 92126, 92127, 92128, 92129, 92130, 92131, 92132, 92135, 92140, 92145, 92147, 92155]"
52,53,"[91902, 91910, 91911, 91913, 91914, 91915, 91941, 91942, 91945, 91977, 91978, 92019, 92020, 92021, 92071, 92101, 92102, 92103, 92104, 92105, 92108, 92110, 92111, 92114, 92115, 92116, 92119, 92120, 92123, 92124, 92134, 92139, 92154]"
